Compartment;Genotype;Cell;Mean intensity;Area;Experiment;Normalized intensity
Lamp1;WT;9;11793,93052;0,292936073;1;0,834210042
Lamp1;WT;0;11002,33436;0,481218953;1;0,778218745
Lamp1;WT;1;10140,13195;0,668697399;1;0,717233317
Lamp1;WT;2;18898,5785;0,43891382;1;1,336737056
Lamp1;WT;3;21225,40218;0,279086534;1;1,501318294
Lamp1;WT;4;14329,96417;0,277255257;1;1,01358915
Lamp1;WT;5;13376,16533;0,447506787;1;0,946124909
Lamp1;WT;6;14703,14119;0,389444162;1;1,039984763
Lamp1;WT;7;11818,08117;0,295127938;1;0,83591827
Lamp1;WT;8;18147,86784;0,327857943;1;1,283637679
Lamp1;KO;5;12927,95022;0,18927888;1;0,914421692
Lamp1;KO;9;9449,044042;0,334193117;1;0,668351184
Lamp1;KO;8;8470,022285;0,322555695;1;0,599102872
Lamp1;KO;7;11123,86727;0,190802078;1;0,786815029
Lamp1;KO;6;12054,20636;0,156651618;1;0,852619911
Lamp1;KO;4;11085,36984;0,260495912;1;0,784092023
Lamp1;KO;3;6504,235379;0,192600907;1;0,460058541
Lamp1;KO;2;15363,22064;0,153130762;1;1,0866736
Lamp1;KO;1;11195,04115;0,167560515;1;0,79184931
Lamp1;KO;0;14517,16498;0,289432649;1;1,026830266
Lamp1;WT;9;18074,70545;0,267600938;2;1,131939586
Lamp1;WT;0;20270,87871;0,25497841;2;1,269476293
Lamp1;WT;1;15631,02839;0,374048414;2;0,978902802
Lamp1;WT;10;13471,8399;0,328380432;2;0,84368229
Lamp1;WT;11;15507,98439;0,224729526;2;0,971197096
Lamp1;WT;12;14737,76232;0,285066943;2;0,922961463
Lamp1;WT;2;16417,62607;0,391968453;2;1,028163967
Lamp1;WT;3;14802,88298;0,224135072;2;0,927039685
Lamp1;WT;4;16145,1326;0,444179543;2;1,011098896
Lamp1;WT;5;17007,5593;0,387632816;2;1,0651089
Lamp1;WT;6;13362,22609;0,360661893;2;0,836817657
Lamp1;WT;7;16849,56003;0,354998464;2;1,055214098
Lamp1;WT;8;16560,40348;0,234925502;2;1,037105491
Lamp1;KO;7;15003,12995;0,554175457;2;0,939580275
Lamp1;KO;9;16843,32781;0,332762533;2;1,054823802
Lamp1;KO;8;14670,00964;0,351711493;2;0,91871841
Lamp1;KO;6;18167,38117;0,442106129;2;1,137743461
Lamp1;KO;5;15492,9561;0,365127304;2;0,97025594
Lamp1;KO;4;11089,44119;0,350345068;2;0,6944831
Lamp1;KO;3;10080,50544;0,27453455;2;0,631297876
Lamp1;KO;2;12544,86852;0,373297907;2;0,785630135
Lamp1;KO;1;19940,17264;0,254312982;2;1,248765621
Lamp1;KO;0;12042,20693;0,22799692;2;0,754150643
Lamp1;WT;9;15723,82531;0,405225917;3;1,120385439
Lamp1;WT;0;13726,97882;0,396468808;3;0,978102141
Lamp1;WT;2;13609,90321;0,18982839;3;0,969760035
Lamp1;WT;8;15000,24527;0,32714548;3;1,068827468
Lamp1;WT;7;21271,61884;0,353239353;3;1,515687916
Lamp1;WT;6;13639,59446;0,453484108;3;0,971875656
Lamp1;WT;5;18974,55945;0,504359871;3;1,352013248
Lamp1;WT;1;9846,598929;0,373916087;3;0,701609554
Lamp1;WT;3;15151,92125;0,34320699;3;1,079634988
Lamp1;WT;4;14390,06069;0,312138999;3;1,025349376
Lamp1;WT;14;12021,42617;0,254013076;3;0,856574693
Lamp1;WT;13;16652,03123;0,540946901;3;1,186523823
Lamp1;WT;12;12228,06807;0,318597499;3;0,871298755
Lamp1;WT;11;14864,41979;0,514020115;3;1,059149359
Lamp1;WT;10;9541,637169;0,3565947;3;0,679879809
Lamp1;KO;3;10571,43604;0,253062789;3;0,753257097
Lamp1;KO;9;14869,42436;0,333150046;3;1,059505955
Lamp1;KO;8;14520,21816;0,514686187;3;1,034623616
Lamp1;KO;7;14634,50984;0,268920847;3;1,042767355
Lamp1;KO;6;10163,95895;0,369997152;3;0,724222725
Lamp1;KO;5;8974,653381;0,385596748;3;0,639479947
Lamp1;KO;4;11426,79247;0,313749785;3;0,814204664
Lamp1;KO;2;12409,25842;0,331445313;3;0,884209292
Lamp1;KO;14;11530,91866;0,449610235;3;0,821624071
Lamp1;KO;1;12721,18874;0,393180907;3;0,906435575
Lamp1;KO;10;9680,875862;0,510190364;3;0,689801123
Lamp1;KO;11;10319,58051;0,296080045;3;0,735311384
Lamp1;KO;12;9734,568636;0,338523991;3;0,693626948
Lamp1;KO;13;13275,99067;0,348366348;3;0,945967431
Lamp1;KO;0;11868,2731;0,3229138;3;0,845661924
Lamp1;WT;9;12947,17568;0,253622183;4;1,117448212
Lamp1;WT;0;16151,19893;0,220243656;4;1,393981886
Lamp1;WT;1;10733,97208;0,235548658;4;0,926430459
Lamp1;WT;2;18013,87445;0,149493355;4;1,55474617
Lamp1;WT;3;11218,99632;0,219903022;4;0,968292058
Lamp1;WT;4;16241,34201;0,307658541;4;1,401761978
Lamp1;WT;5;6299,841956;0,162757171;4;0,543728401
Lamp1;WT;6;10678,83314;0,305971834;4;0,921671513
Lamp1;WT;7;9624,996531;0,160077112;4;0,830716709
Lamp1;WT;8;8567,297407;0,13928343;4;0,739428537
Lamp1;KO;5;11609,704;0,222071411;4;1,002013358
Lamp1;KO;9;11846,682;0,155040158;4;1,022466517
Lamp1;KO;8;12860,90734;0,179773083;4;1,110002542
Lamp1;KO;7;9199,821378;0,165901518;4;0,794020581
Lamp1;KO;6;10282,48646;0,263904903;4;0,887463521
Lamp1;KO;4;11704,66037;0,311238756;4;1,010208877
Lamp1;KO;3;13041,60537;0,178145651;4;1,125598274
Lamp1;KO;2;7442,558739;0,163190112;4;0,642354299
Lamp1;KO;1;9376,897891;0,229406942;4;0,809303746
Lamp1;KO;0;5663,093832;0,204140726;4;0,488771778
