Genotype;Invasion;Experiment
WT;23,01379;1
WT;12,97027;1
WT;41,75968;1
WT;15,9079;1
WT;2,156275;1
WT;21,21936;1
WT;37,35423;1
WT;36,63733;1
WT;28,60065;1
WT;31,21937;1
WT;19,14329;1
WT;28,56444;1
WT;31,63037;1
WT;18,94182;1
WT;18,79725;1
WDFY2 OE;10,36502;1
WDFY2 OE;8,043218;1
WDFY2 OE;9,927673;1
WDFY2 OE;2,893413;1
WDFY2 OE;12,39022;1
WDFY2 OE;2,862398;1
WDFY2 OE;2,216356;1
WDFY2 OE;9,530566;1
WDFY2 OE;8,897362;1
WDFY2 OE;4,453165;1
WDFY2 OE;1,941288;1
WDFY2 OE;0,98474;1
WDFY2 OE;3,142984;1
WDFY2 OE;0;1
WDFY2 OE;0;1
WT;20,05244;2
WT;27,84026;2
WT;66,13758;2
WT;39,26502;2
WT;37,89036;2
WT;26,11576;2
WT;31,26573;2
WT;16,12755;2
WT;38,94668;2
WT;25,95854;2
WT;32,67265;2
WT;22,11894;2
WT;41,81985;2
WT;29,20099;2
WT;24,5911;2
WDFY2 OE;6,211217;2
WDFY2 OE;1,250628;2
WDFY2 OE;18,00383;2
WDFY2 OE;0,308375;2
WDFY2 OE;7,373387;2
WDFY2 OE;3,996496;2
WDFY2 OE;17,78605;2
WDFY2 OE;6,215625;2
WDFY2 OE;10,96441;2
WDFY2 OE;19,10631;2
WDFY2 OE;0,038171;2
WDFY2 OE;2,611704;2
WDFY2 OE;19,48764;2
WDFY2 OE;12,63321;2
WDFY2 OE;4,262992;2
WT;23,81723;3
WT;18,99042;3
WT;69,7372;3
WT;4,815942;3
WT;51,02163;3
WT;37,21171;3
WT;36,20883;3
WT;46,35196;3
WT;40,18481;3
WT;41,31858;3
WT;28,5885;3
WT;36,70242;3
WT;40,88878;3
WT;27,25033;3
WT;39,31994;3
WDFY2 OE;11,3986;3
WDFY2 OE;22,29015;3
WDFY2 OE;10,37389;3
WDFY2 OE;12,51811;3
WDFY2 OE;16,80989;3
WDFY2 OE;5,944427;3
WDFY2 OE;12,64571;3
WDFY2 OE;7,242349;3
WDFY2 OE;16,00764;3
WDFY2 OE;7,990999;3
WDFY2 OE;0;3
WDFY2 OE;5,899671;3
WDFY2 OE;0,975109;3
WDFY2 OE;0;3
WDFY2 OE;3,436498;3
